instrument,direction,ob_ts,placed_ts,ml,entry,sl,tp,rr,fill_ts,exit_ts,outcome,pnl_r
GER40,bearish,2026-05-19 10:42:00+00:00,2026-05-19 10:45:00+00:00,0.7279432666514184,24279.07,24685.6,24541.85,0.6463975598356815,2026-05-19 10:45:31.109000+00:00,,INVALID_PRICE,0.0
GER40,bearish,2026-05-19 10:43:00+00:00,2026-05-19 10:45:00+00:00,0.7171166485118913,24279.07,24685.6,24529.35,0.6156495215605233,2026-05-19 10:45:31.109000+00:00,,INVALID_PRICE,0.0
GER40,bullish,2026-05-19 04:31:00+00:00,2026-05-19 04:35:00+00:00,0.7911328791189167,24390.03,24186.07,24250.4,0.6845950186310942,2026-05-19 05:15:00.521000+00:00,,INVALID_PRICE,0.0
EURUSD,bullish,2026-05-19 15:30:00+00:00,2026-05-19 16:00:00+00:00,0.8356819719779239,1.16217,1.15922,1.1605699999999999,0.5423728813559462,2026-05-19 16:00:30.070000+00:00,,INVALID_PRICE,0.0
EURUSD,bearish,2026-05-19 18:13:00+00:00,2026-05-19 18:15:00+00:00,0.7684113256993951,1.16134,1.16148,1.16084,3.5714285714274387,2026-05-19 18:15:30.217000+00:00,2026-05-19 18:19:32.430000+00:00,WIN,3.501428571427439
EURUSD,bearish,2026-05-19 18:29:00+00:00,2026-05-19 18:30:00+00:00,0.7478096316543024,1.1605699999999999,1.16129,1.16029,0.3888888888886319,2026-05-19 18:30:30.003000+00:00,2026-05-19 18:31:43.837000+00:00,WIN,0.31888888888863187
NAS100,bearish,2026-05-19 00:35:00+00:00,2026-05-19 00:40:00+00:00,0.8215294726278269,28960.05,29108.15,29074.4,0.7721134368669851,2026-05-19 00:40:30.282000+00:00,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-19 18:20:00+00:00,2026-05-19 18:25:00+00:00,0.710966092190192,4502.32,4503.82,4487.06,10.173333333332872,2026-05-19 18:25:30.023000+00:00,2026-05-19 18:27:14.921000+00:00,LOSS,-1.07
XAUUSD,bearish,2026-05-19 19:16:00+00:00,2026-05-19 19:20:00+00:00,0.7725255661763472,4490.78,4497.73,4487.06,0.5352517985610709,2026-05-19 19:20:30.028000+00:00,2026-05-19 19:21:20.743000+00:00,WIN,0.46525179856107085
XAUUSD,bearish,2026-05-19 00:14:00+00:00,2026-05-19 00:15:00+00:00,0.7483680040881381,4553.32,4589.23,4560.22,0.1921470342523134,2026-05-19 00:15:30.102000+00:00,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-19 00:24:00+00:00,2026-05-19 00:25:00+00:00,0.7802998739411044,4547.63,4585.92,4560.22,0.3288064768869198,2026-05-19 00:25:30.057000+00:00,,INVALID_PRICE,0.0
BTCUSD,bullish,2026-05-19 20:02:00+00:00,2026-05-19 20:05:00+00:00,0.7647455481171871,76554.57,76765.1,77143.06999999998,2.795326081793446,2026-05-19 20:05:30.089000+00:00,,INVALID_PRICE,0.0
GBPUSD,bullish,2026-05-19 14:57:00+00:00,2026-05-19 15:00:00+00:00,0.7682145205665305,1.34053,1.33807,1.3403,0.09349593495933381,2026-05-19 15:00:30.023000+00:00,,INVALID_PRICE,0.0
USDJPY,bullish,2026-05-18 23:45:00+00:00,2026-05-19 00:00:00+00:00,0.7089928636654722,159.08,158.815,158.86700000000002,0.8037735849055924,2026-05-19 00:00:30.340000+00:00,,INVALID_PRICE,0.0
AUDUSD,bullish,2026-05-19 14:58:00+00:00,2026-05-19 15:00:00+00:00,0.7198856528568295,0.71154,0.70798,0.70933,0.6207865168539322,2026-05-19 15:00:30.066000+00:00,,INVALID_PRICE,0.0
SP500,bearish,2026-05-19 18:16:00+00:00,2026-05-19 18:20:00+00:00,0.7398018455448807,7376.0,7400.0,7385.0,0.375,2026-05-19 18:20:30.217000+00:00,,INVALID_PRICE,0.0
USDJPY,bearish,2026-05-19 13:31:00+00:00,2026-05-19 14:00:00+00:00,0.8190471904095771,159.155,159.192,159.082,1.9729729729728485,2026-05-19 14:00:30.524000+00:00,2026-05-19 14:58:18.863000+00:00,WIN,1.9029729729728484
DJ30,bearish,2026-05-19 08:02:00+00:00,2026-05-19 08:05:00+00:00,0.8902729801947389,49672.31,49794.91,49714.91,0.34747145187605055,2026-05-19 08:05:30.737000+00:00,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-19 08:07:00+00:00,2026-05-19 08:10:00+00:00,0.735350940082584,49688.31,49794.91,49658.40999999999,0.28048780487811537,2026-05-19 08:10:30.435000+00:00,2026-05-19 09:02:16.200000+00:00,WIN,0.21048780487811536
DJ30,bearish,2026-05-19 09:01:00+00:00,2026-05-19 09:05:00+00:00,0.7265454249342517,49637.31,49727.31,49651.39,0.15644444444446384,2026-05-19 09:05:30.922000+00:00,,INVALID_PRICE,0.0
DJ30,bearish,2026-05-19 18:47:00+00:00,2026-05-19 18:55:00+00:00,0.7206085732818849,49591.38,49571.38,49511.38,4.0,2026-05-19 18:55:30.292000+00:00,,INVALID_PRICE,0.0
