instrument,direction,ob_ts,placed_ts,ml,entry,sl,tp,rr,fill_ts,exit_ts,outcome,pnl_r
GER40,bullish,2026-05-14 00:37:00+00:00,2026-05-14 00:40:00+00:00,0.7689415278770841,24251.47,24245.47,24263.47,2.0,,,INVALID_PRICE,0.0
GER40,bullish,2026-05-14 05:45:00+00:00,2026-05-14 06:00:00+00:00,0.8560789775081201,24214.77,24176.37,24272.370000000003,1.5,,,NO_FILL,0.0
GER40,bearish,2026-05-14 11:17:00+00:00,2026-05-14 11:20:00+00:00,0.7629639382446937,24448.0,24467.0,24410.0,2.0,,,NO_FILL,0.0
GER40,bearish,2026-05-14 11:24:00+00:00,2026-05-14 11:25:00+00:00,0.8041174660596735,24450.0,24468.0,24414.0,2.0,,,NO_FILL,0.0
GER40,bearish,2026-05-14 11:25:00+00:00,2026-05-14 11:30:00+00:00,0.7752340499728184,24447.0,24468.0,24405.0,2.0,,,NO_FILL,0.0
EURUSD,bearish,2026-05-14 07:13:00+00:00,2026-05-14 07:15:00+00:00,0.7342878063739741,1.17143,1.17215,1.1698,2.2638888888887476,,,INVALID_PRICE,0.0
EURUSD,bearish,2026-05-14 12:31:00+00:00,2026-05-14 12:35:00+00:00,0.7099300634419052,1.1703000000000001,1.17053,1.1698,2.1739130434794363,,,INVALID_PRICE,0.0
EURUSD,bearish,2026-05-14 14:51:00+00:00,2026-05-14 14:55:00+00:00,0.8936130342000909,1.16942,1.16966,1.16889,2.208333333332832,,,INVALID_PRICE,0.0
NAS100,bullish,2026-05-14 13:14:00+00:00,2026-05-14 13:15:00+00:00,0.8046820130048082,29396.9,29375.9,29438.9,2.0,,,NO_FILL,0.0
GBPUSD,bearish,2026-05-14 07:00:00+00:00,2026-05-14 07:05:00+00:00,0.8911167419205821,1.3526799999999999,1.35324,1.3518399999999997,1.5,,,INVALID_PRICE,0.0
NAS100,bearish,2026-05-14 15:34:00+00:00,2026-05-14 16:00:00+00:00,0.7314348818407915,29672.65,29701.15,29615.65,2.0,,,NO_FILL,0.0
NAS100,bearish,2026-05-14 16:26:00+00:00,2026-05-14 16:30:00+00:00,0.9135184560080309,29669.9,29709.15,29591.4,2.0,,,NO_FILL,0.0
NAS100,bearish,2026-05-14 17:05:00+00:00,2026-05-14 17:10:00+00:00,0.7684147045420062,29665.65,29681.65,29633.65,2.0,,,NO_FILL,0.0
XAUUSD,bearish,2026-05-14 19:04:00+00:00,2026-05-14 19:05:00+00:00,0.7815696219597926,4668.94,4671.92,4660.48,2.8389261744962058,,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-14 07:47:00+00:00,2026-05-14 07:50:00+00:00,0.7266579782283292,4704.59,4718.79,4683.290000000001,1.5,,,NO_FILL,0.0
XAUUSD,bearish,2026-05-14 07:50:00+00:00,2026-05-14 07:55:00+00:00,0.7146150126577626,4703.0,4718.79,4679.3150000000005,1.5,,,NO_FILL,0.0
XAUUSD,bearish,2026-05-14 15:41:00+00:00,2026-05-14 16:00:00+00:00,0.7013910388527036,4684.48,4689.44,4677.039999999999,1.5,,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-14 01:13:00+00:00,2026-05-14 01:15:00+00:00,0.7121663577483475,4688.37,4692.46,4678.96,2.300733496332401,,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-14 14:43:00+00:00,2026-05-14 14:45:00+00:00,0.7085398459143127,4687.56,4692.43,4678.96,1.7659137577003197,,,INVALID_PRICE,0.0
XAUUSD,bearish,2026-05-14 13:16:00+00:00,2026-05-14 13:20:00+00:00,0.7711855322881634,4701.11,4704.82,4694.3,1.8355795148246425,2026-05-14 13:26:05.438000+00:00,2026-05-14 13:27:23.390000+00:00,LOSS,-1.07
XAUUSD,bearish,2026-05-14 13:27:00+00:00,2026-05-14 13:30:00+00:00,0.7969919722643006,4690.64,4697.09,4680.965,1.5,,,INVALID_PRICE,0.0
BTCUSD,bullish,2026-05-14 14:11:00+00:00,2026-05-14 14:15:00+00:00,0.7414364369621881,79812.42,79551.26,80204.16,1.5,2026-05-14 14:20:52.311000+00:00,2026-05-14 16:40:40.912000+00:00,LOSS,-1.07
BTCUSD,bullish,2026-05-14 14:12:00+00:00,2026-05-14 14:15:00+00:00,0.7109325479593511,79864.93,79551.26,80335.435,1.5,,,INVALID_PRICE,0.0
BTCUSD,bullish,2026-05-14 15:47:00+00:00,2026-05-14 15:50:00+00:00,0.8080110321132903,81056.27,80806.16,81431.435,1.5,,,INVALID_PRICE,0.0
BTCUSD,bullish,2026-05-14 04:05:00+00:00,2026-05-14 04:10:00+00:00,0.8646616221495821,79097.12,78913.64,79459.87,1.977054719860519,,,NO_FILL,0.0
BTCUSD,bullish,2026-05-14 04:08:00+00:00,2026-05-14 04:10:00+00:00,0.7175984563189676,79201.19,78913.64,79632.51500000001,1.5,,,NO_FILL,0.0
BTCUSD,bullish,2026-05-14 13:11:00+00:00,2026-05-14 13:15:00+00:00,0.703932657637264,79854.93,79772.77,79989.56,1.6386319376828478,,,INVALID_PRICE,0.0
AUDUSD,bearish,2026-05-14 05:55:00+00:00,2026-05-14 06:00:00+00:00,0.7115871110781994,0.72598,0.72627,0.7251099999999999,3.0,,,NO_FILL,0.0
GBPUSD,bearish,2026-05-14 14:38:00+00:00,2026-05-14 14:40:00+00:00,0.8298300320305257,1.3507,1.351,1.35023,1.5666666666667406,,,INVALID_PRICE,0.0
GBPUSD,bearish,2026-05-14 16:01:00+00:00,2026-05-14 16:05:00+00:00,0.8762240141643511,1.3476,1.34799,1.3470149999999999,1.5,,,INVALID_PRICE,0.0
AUDUSD,bearish,2026-05-14 07:01:00+00:00,2026-05-14 07:05:00+00:00,0.9248215252390949,0.72598,0.72643,0.72506,2.0444444444439895,,,NO_FILL,0.0
AUDUSD,bearish,2026-05-14 07:55:00+00:00,2026-05-14 08:00:00+00:00,0.7382197996773084,0.72541,0.72596,0.7245849999999999,1.5,,,NO_FILL,0.0
GBPUSD,bearish,2026-05-14 12:31:00+00:00,2026-05-14 12:35:00+00:00,0.7098440858155162,1.3511199999999999,1.35182,1.3500699999999997,1.5,,,INVALID_PRICE,0.0
SP500,bullish,2026-05-14 05:45:00+00:00,2026-05-14 06:00:00+00:00,0.7377445050842059,7462.48,7459.97,7467.95,2.179282868526598,2026-05-14 06:01:51.456000+00:00,2026-05-14 06:15:09.815000+00:00,WIN,2.109282868526598
SP500,bullish,2026-05-14 00:14:00+00:00,2026-05-14 00:15:00+00:00,0.7447572352913113,7465.73,7460.72,7473.244999999999,1.5,,,INVALID_PRICE,0.0
SP500,bullish,2026-05-14 04:10:00+00:00,2026-05-14 04:15:00+00:00,0.8245205410740984,7459.73,7456.47,7467.95,2.5214723926386498,,,NO_FILL,0.0
SP500,bullish,2026-05-14 14:12:00+00:00,2026-05-14 14:15:00+00:00,0.7676843672252052,7484.35,7477.35,7494.85,1.5,,,INVALID_PRICE,0.0
USDJPY,bullish,2026-05-14 19:16:00+00:00,2026-05-14 19:20:00+00:00,0.7220560718643045,158.2,158.17,158.29,3.0,,,INVALID_PRICE,0.0
DJ30,bullish,2026-05-14 00:22:00+00:00,2026-05-14 00:25:00+00:00,0.7553601433968246,49854.39,49828.99,49892.490000000005,1.5,,,INVALID_PRICE,0.0
FRA40,bullish,2026-05-14 05:45:00+00:00,2026-05-14 05:50:00+00:00,0.7095539366523289,8036.71,8032.21,8050.21,3.0,,,NO_FILL,0.0
DJ30,bearish,2026-05-14 16:09:00+00:00,2026-05-14 16:10:00+00:00,0.7379295834428755,50201.46,50239.46,50087.46,3.0,,,NO_FILL,0.0
USDCAD,bullish,2026-05-14 03:39:00+00:00,2026-05-14 04:00:00+00:00,0.720187402174325,1.37077,1.37063,1.3711900000000001,3.0,2026-05-14 04:01:00.045000+00:00,2026-05-14 04:01:27.486000+00:00,LOSS,-1.07
USDCAD,bullish,2026-05-14 07:03:00+00:00,2026-05-14 07:05:00+00:00,0.730520933124644,1.3705,1.37016,1.37122,2.1176470588236445,2026-05-14 07:06:11.502000+00:00,2026-05-14 12:48:42.530000+00:00,LOSS,-1.07
